Continents,Country,Lat,Long,Place
North America,USA,40.1736547,-85.4941396,"Yorktown, Indiana"
North America,USA,37.7800592,-86.4605337,"Hardinsburg, Kentucky"
North America,USA,43.635336,-113.299953,"Arco, Idaho"
North America,USA,39.9527237,-75.1635262,"Philadelphia, Pennsylvania"
North America,USA,40.4862174,-74.4518173,"New Brunswick, New Jersey"
North America,USA,41.6397857,-87.4548466,"East Chicago, Indiana"
North America,USA,42.291707,-85.5872286,"Kalamazoo, Michigan"
North America,USA,40.6501038,-73.9495823,"Brooklyn, New York"
North America,USA,36.6930592,-95.9078261,"Washington, Oklahoma"
North America,USA,30.6485191,-91.1564961,"Zachary, Louisiana"
North America,USA,33.9836962,-101.3368743,"Floydada, Texas"
North America,USA,40.2225481,-84.484396,"Versailles, Ohio"
North America,USA,41.6253116,-87.7175491,"Midlothian, Illinois"
North America,USA,40.7443668,-74.0875763,"Kearney, New Jersey"
North America,USA,40.8860164,-74.0072568,"Teaneck, New Jersey"
North America,USA,37.7790262,-122.4199061,"San Francisco, California"
North America,USA,44.9706705,-93.2682241,"Minneapolis, Minnesota"
North America,USA,42.8867166,-78.8783922,"Buffalo, New York"
North America,USA,29.9499323,-90.0701156,"New Orleans, Louisiana"
North America,USA,30.8899124,-96.2946839,"Edge, Texas"
North America,USA,37.7522783,-84.7611039,"Burgin, Kentucky"
North America,USA,46.4085273,-105.840981,"Miles City, Montana"
North America,USA,35.4906115,-86.069633,"Coffee County, Tennessee"
North America,USA,41.1749635,-75.9695233,"Luzerne, Pennsylvania"
North America,USA,41.788642,-89.6962194,"Sterling, Illinois"
North America,USA,40.2663107,-76.8861122,"Harrisburg, Pennsylvania"
North America,USA,32.0809263,-81.0911768,"Savannah, Georgia"
North America,USA,40.4848003,-106.8317359,"Steamboat Springs, Colorado"
North America,USA,40.7795455,-74.0237512,"Union City, New Jersey"
North America,USA,38.5250491,-89.1334037,"Centralia, Illinois"
North America,USA,42.5846773,-87.8212263,"Kenosha, Wisconsin"
North America,USA,39.7683331,-86.1583502,"Indianapolis, Indiana"
North America,USA,40.7127281,-74.0060152,"New York, New York"
North America,USA,40.7596198,-111.8867975,"Salt Lake City, Utah"
North America,USA,36.9064438,-88.2236421,"Birmingham, Kentucky"
North America,USA,41.8755616,-87.6244212,"Chicago, Illinois"
North America,USA,38.8482602,-90.0768875,"Roxana, Illinois"
North America,USA,42.7249686,-110.9318384,"Afton, Wyoming"
North America,USA,46.7207737,-92.1040796,"Superior, Wisconsin"
North America,USA,39.3520084,-83.3826928,"Greenfield, Ohio"
North America,USA,40.0959055,-80.724526,"Martins Ferry, Ohio"
North America,USA,32.728072,-99.2946024,"Albany, Texas"
North America,USA,42.3264181,-122.8718605,"Medford, Oregon"
North America,USA,34.0536909,-118.2427666,"Los Angeles, California"
North America,USA,31.6035129,-94.6554874,"Nacogdoches, Texas"
North America,USA,35.6172918,-87.8394705,"Linden, Tennessee"
North America,USA,38.4192496,-82.445154,"Huntington, West Virginia"
North America,USA,32.7762719,-96.7968559,"Dallas, Texas"
North America,USA,46.9932847,-93.5985615,"Hill City, Minnesota"
North America,USA,38.5367471,-82.6829406,"Ironton, Ohio"
North America,USA,40.5697893,-79.7647705,"New Kensington, Pennsylvania"
North America,USA,47.7370442,-95.5131887,"Gonvick, Minnesota"
North America,USA,37.8399791,-94.7082882,"Fort Scott, Kansas"
North America,USA,38.3172715,-88.9031201,"Mount Vernon, Illinois"
North America,USA,38.6592152,-87.172789,"Washington, Indiana"
North America,USA,48.82723,-100.445698,"Bottineau, North Dakota"
Europe,Poland,52.2319237,21.0067265,"Warsaw, Poland"
North America,USA,42.3875968,-71.0994968,"Somerville, Massachusetts"
North America,USA,39.8286897,-84.8898521,"Richmond, Indiana"
North America,USA,38.6268039,-90.1994097,"St. Louis, Missouri"
North America,USA,40.7097227,-74.3056934,"New Jersey, New Jersey"
Asia,United Arab Emirates,25.271841,55.3034828,"El Mina, Texas"
North America,USA,43.08436,-79.0614686,"Niagara Falls, New York"
North America,USA,40.868154,-73.425676,"Huntington, New York"
North America,USA,35.9372285,-79.084223,"Lowlands, North Carolina"
North America,USA,41.5263603,-88.0840212,"Joliet, Illinois"
North America,USA,36.7394421,-119.7848307,"Fresno, California"
North America,USA,40.8517224,-73.0992188,"Long Island, New York"
North America,USA,38.1509077,-84.6838344,"Midway, Kentucky"
North America,USA,32.8406946,-83.6324022,"Macon, Georgia"
North America,USA,47.52326,-92.536571,"Virginia, Minnesota"
North America,USA,40.7003793,-73.5929056,"Uniondale, New York"
North America,USA,37.4019918,-86.8758256,"Beaver Dam, Kentucky"
North America,USA,41.6797578,-87.4944873,"Whiting, Indiana"
North America,USA,37.4839373,-94.6419037,"Yale, Kansas"
North America,USA,40.3611643,-83.7596557,"Bellefontaine, Ohio"
North America,USA,32.753177,-97.3327459,"Fort Worth, Texas"
North America,USA,38.7014389,-90.1487199,"Granite City, Illinois"
North America,USA,37.8044557,-122.2713563,"Oakland, California"
North America,USA,36.200055,-86.5186054,"Mt. Juliet, Tennessee"
North America,USA,38.6381245,-84.5604977,"Williamstown, Kentucky"
North America,USA,37.7478572,-84.2946539,"Richmond, Kentucky"
North America,USA,41.0799898,-85.1386015,"Fort Wayne, Indiana"
North America,USA,19.5895548,-155.4486983,"Hilo, Hawaii"
North America,USA,38.7641817,-90.5292573,"Charlestown, Missouri"
North America,USA,40.3267407,-78.9219698,"Johnstown, Pennsylvania"
North America,USA,41.232203,-103.891891,"Bushnell, Nebraska"
North America,USA,40.0581205,-82.4012643,"Newark, Ohio"
North America,USA,44.9504037,-93.1015026,"St. Paul, Minnesota"
North America,USA,42.7260523,-87.7825242,"Racine, Wisconsin"
North America,USA,34.7319656,-112.0265462,"Clemenceau, Arizona"
North America,USA,47.6369051,-95.8864205,"McIntosh, Minnesota"
North America,United States of America,34.047863,-118.245353,"Los Angelse, California"
North America,USA,40.8125881,-76.1416034,"Mahanoy City, Pennsylvania"
North America,USA,41.6786754,-83.5127283,"Toledo, Ohio"
North America,USA,40.5875371,-86.6750059,"Delphi, Indiana"
North America,USA,39.1836082,-96.5716694,"Manhattan, Kansas"
North America,USA,40.735657,-74.1723667,"Newark, New Jersey"
North America,United States of America,36.315483,-76.605448,"Golden Valley, North Carolina"
North America,USA,41.6458633,-88.6217432,"Sandwich, Illinois"
North America,USA,34.065846,-117.6484304,"Ontario, California"
North America,USA,37.1169666,-87.8391211,"Caldwell, Kentucky"
North America,Canada,45.4972159,-73.6103642,"Montreal, Canada"
North America,USA,42.866632,-106.313081,"Casper, Wyoming"
North America,USA,44.0500054,-91.6392294,"Winona, Minnesota"
North America,USA,40.2338438,-111.6585337,"Provo, Utah"
North America,USA,39.0836224,-84.508371,"Covington, Kentucky"
North America,USA,43.1500081,-93.1813729,"Grand View, Iowa"
North America,USA,41.2403596,-75.9446428,"Plymouth, Pennsylvania"
North America,USA,40.7433066,-74.0323752,"Hoboken, New Jersey"
North America,USA,34.7464809,-92.2895948,"Little Rock, Arkansas"
North America,USA,44.311461,-96.79844,"Brookings, South Dakota"
North America,USA,41.7244885,-81.245657,"Painesville, Ohio"
North America,USA,40.7281575,-74.0776417,"Jersey City, New Jersey"
North America,USA,33.7690164,-118.1916048,"Long Beach, California"
North America,USA,41.6047148,-82.7064804,"Kelleys Island, Ohio"
North America,USA,32.44645,-99.7475905,"Abilene, Texas"
North America,USA,42.2713945,-89.093966,"Rockford, Illinois"
North America,USA,40.5114735,-85.6540606,"Grant County, Indiana"
North America,USA,39.7089362,-90.7245722,"Griggsville, Illinois"
North America,USA,38.5815719,-121.4943996,"Sacramento, California"
North America,USA,39.3331197,-82.9824019,"Chillicothe, Ohio"
North America,USA,38.3505995,-81.6332812,"Charleston, West Virginia"
North America,USA,32.4254325,-93.1082193,"Sailes, Louisiana"
North America,USA,37.6217133,-88.055585,"Henshaw, Kentucky"
North America,USA,44.797194,-106.956179,"Sheridan, Wyoming"
North America,USA,41.6021292,-87.3371372,"Gary, Indiana"
North America,USA,46.7729322,-92.1251218,"Duluth, Minnesota"
North America,USA,40.3478472,-79.864215,"McKeesport, Pennsylvania"
North America,USA,40.6524927,-73.7914214,"Queens, New York"
North America,USA,35.7478769,-95.3696909,"Muskogee, Oklahoma"
North America,USA,40.4417355,-79.8819942,"Wilkinsburg, Pennsylvania"
North America,USA,39.7589478,-84.1916069,"Dayton, Ohio"
North America,USA,40.8014826,-75.6101868,"Palmerton, Pennsylvania"
North America,USA,40.3634026,-79.8664375,"West Mifflin, Pennsylvania"
North America,USA,37.6280602,-98.7485305,"Pratt, Kansas"
North America,USA,30.0860459,-94.1018461,"Beaumont, Texas"
North America,USA,40.4236801,-79.8828275,"Swissvale, Pennsylvania"
North America,Canada,49.2608724,-123.1139529,"Vancouver, Canada"
North America,USA,40.7365804,-73.8783932,"Elmhurst, New York"
North America,USA,39.201941,-96.304998,"Wamego, Kansas"
North America,USA,38.4919935,-87.2786244,"Petersburg, Indiana"
North America,USA,37.496904,-122.3330573,"San Mateo, California"
North America,USA,39.944784,-83.2688045,"West Jefferson, Ohio"
